CN,NN,Rate Constants
COc3cccc(c2cc(c1ccccc1)c(C)cn2)c3,O=c2c1cccnc1c3ncccc23,1.07E-05
c4ccc(c3ccnc(c2ccc1ccccc1c2)c3)cc4,O=c2c1cccnc1c3ncccc23,1.07E-05
FC(F)(F)Oc3ccc(c2nc1ccccc1s2)cc3,O=c2c1cccnc1c3ncccc23,1.07E-05
c4ccc3cc(c2nc1ccccc1o2)ccc3c4,O=c2c1cccnc1c3ncccc23,0.18448704
c2ccc(c1ccccn1)cc2,Cc2ccnc(c1cc(C)ccn1)c2,1.070024832
Cc2ccc(c1ccc(F)cc1F)nc2,Cc2ccnc(c1cc(C)ccn1)c2,0.396305493
Cc2ccc(c1ccccc1)nc2,Cc2ccnc(c1cc(C)ccn1)c2,1.070024832
c2ccc(n1cccn1)cc2,Cc2ccnc(c1cc(C)ccn1)c2,0.89168736
c1ccc3c(c1)ccc2cccnc23,Cc2ccnc(c1cc(C)ccn1)c2,0.972749847
Cc3ccc(c2ccc(c1ccccc1)cc2)nc3,Cc2ccnc(c1cc(C)ccn1)c2,1.33753104
Cc2ccc(c1ccc(F)cc1)nc2,Cc2ccnc(c1cc(C)ccn1)c2,0.281585482
c3ccc(c2nc1ccccc1s2)cc3,Cc2ccnc(c1cc(C)ccn1)c2,1.78337472
c3ccc(c2nc1ccccc1o2)cc3,Cc2ccnc(c1cc(C)ccn1)c2,0.764303451
